"Usar (SI/NO)","Producto","Foto sugerida (proveedor)","URL de la foto","Handle"
"","One Million Lucky 100 ML","One million","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLION1.jpg?v=1749732338","one-million-lucky-100-ml"
"","One Million Prive 100 ML","One million","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLION1.jpg?v=1749732338","one-million-prive-100-ml"
"","One Million Elixir 100 ML","One million","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLION1.jpg?v=1749732338","one-million-elixir-100-ml"
"","One Million Parfum 100 ML","One million","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLION1.jpg?v=1749732338","one-million-parfum-100-ml"
"","Thank U Next Ariana Grande 100 ML","Thank U, Next","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/THANKUNEXTARIANAGRANDE1.jpg?v=1749817539","thank-u-next-ariana-grande-100-ml"
"","Asad Lattafa 100 ML","Asad","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ASADLATAFFA1.jpg?v=1749817846","asad-lattafa"
"","Asad Zanzibar 100 ML","Asad","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ASADLATAFFA1.jpg?v=1749817846","asad-zanzibar-100-ml"
"","Honor & Glory Cofre 100 ML","Honor & Glory Latffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/HONOR_GLORY1.jpg?v=1749819566","honor-y-glory-cofre-100-ml"
"","Honor & Glory Caja 100 ML","Honor & Glory Latffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/HONOR_GLORY1.jpg?v=1749819566","honor-y-glory-caja-100-ml"
"","Noble Blush Cofre 100 ML","Noble Blush Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/NOBLEBLUSH1.jpg?v=1749819711","noble-blush-cofre-100-ml"
"","Stronger Intensely 100 ML","Stronger With You Intensely","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/STRONGERWITHYOYINTENSLY1.jpg?v=1749819041","stronger-intensely-100-ml"
"","Jean Paul Le Beau Parfum 120 ML","Le beau le parfum lata","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/LEBEAULEPARFUM1.jpg?v=1749746365","jean-paul-le-beau-parfum-120-ml"
"","Le Male Lata 120 ML","Le Male Le Parfum","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/37.svg?v=1755444089","le-male-lata-120-ml"
"","Invictus Parfum 100 ML","Invictus","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/INVICTUS1.jpg?v=1749732610","invictus-parfum-100-ml"
"","Invictus Legend 100 ML","Invictus","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/INVICTUS1.jpg?v=1749732610","invictus-legend-100-ml"
"","Invictus Intense 100 ML","Invictus","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/INVICTUS1.jpg?v=1749732610","invictus-intense-100-ml"
"","212 VIP Dama 80 ML","212 Vip rose","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/212VIPROSE1.jpg?v=1749748763","212-vip-dama-80-ml"
"","Amber Oud Gold Edition Cofre 100 ML","Al haramain amber oud gold","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ALHARAMAINAMBEROUDGOLD1.jpg?v=1749817706","amber-oud-gold-edition-cofre-100-ml"
"","Set Bolso + Crema + Perfume 60 ML + Mandarin Sky","Set Mandarin Sky Limited Edition","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/Diseno_sin_titulo_2.jpg?v=1763142357","set-bolso-crema-perfume-60-ml-mandarin-sky"
"","Valentino Intense 100 ML","Valentino Born in Roma Intense","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/VALENTINOBORNINROMAINTENSE1.jpg?v=1749819104","valentino-intense-100-ml"
"","212 VIP Wins Woman 80 ML","212 Vip rose","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/212VIPROSE1.jpg?v=1749748763","212-vip-wins-woman-80-ml"
