"Title","URL handle","Option1 name","Option1 value","Product image URL","Image position","Image alt text"
"L`immensite 100 ML","l-immensite-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","L`immensite 100 ML"
"California Dream 100 ML","california-dream-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Louis%20Vuitton","1","California Dream 100 ML"
"City Of Stars 100 ML","city-of-stars-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","City Of Stars 100 ML"
"Orientica Velvet 100 ML","orientica-velvet-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Orientica","1","Orientica Velvet 100 ML"
"Orientica Azure 100 ML","orientica-azure-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Orientica","1","Orientica Azure 100 ML"
"Orientica Dania 100 ML","orientica-dania-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Orientica","1","Orientica Dania 100 ML"
"Orientica Bleu 100 ML","orientica-bleu-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Orientica","1","Orientica Bleu 100 ML"
"Orientica Oud Saffron 100 ML","orientica-oud-saffron-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Orientica","1","Orientica Oud Saffron 100 ML"
"Orientica Noir 100 ML","orientica-noir-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Orientica","1","Orientica Noir 100 ML"
"Bharara Niche Femme 100 ML","bharara-niche-femme-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bharara","1","Bharara Niche Femme 100 ML"
"Bharara Double Blue 100 ML","bharara-double-blue-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bharara","1","Bharara Double Blue 100 ML"
"Bharara Chocolate 100 ML","bharara-chocolate-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bharara","1","Bharara Chocolate 100 ML"
