"Title","URL handle","Option1 name","Option1 value","Product image URL","Image position","Image alt text"
"Lacoste Yellow Power 100 ML","lacoste-yellow-power-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Yellow Power 100 ML"
"Lacoste Levert 100 ML","lacoste-levert-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Levert 100 ML"
"Lacoste Essential 120 ML","lacoste-essential-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Essential 120 ML"
"Starwalker 75 ML","starwalker-75-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Montblanc","1","Starwalker 75 ML"
"Mont Blanc Legend 100 ML","mont-blanc-legend-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Montblanc","1","Mont Blanc Legend 100 ML"
"Mont Blanc Legend Spirit 100 ML","mont-blanc-legend-spirit-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Montblanc","1","Mont Blanc Legend Spirit 100 ML"
"Mont Blanc Emblem 100 ML","mont-blanc-emblem-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Montblanc","1","Mont Blanc Emblem 100 ML"
"Mont Blanc Explorer 100 ML","mont-blanc-explorer-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Montblanc","1","Mont Blanc Explorer 100 ML"
"360 Men Perry Ellis 100 ML","360-men-perry-ellis-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Perry%20Ellis","1","360 Men Perry Ellis 100 ML"
"360 Red Men Perry Ellis 100 ML","360-red-men-perry-ellis-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Perry%20Ellis","1","360 Red Men Perry Ellis 100 ML"
"Blue Seduction Men 100 ML","blue-seduction-men-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Antonio%20Banderas","1","Blue Seduction Men 100 ML"
"Polo Red 120 ML","polo-red-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ralph%20Lauren","1","Polo Red 120 ML"
"Polo Blue 120 ML","polo-blue-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ralph%20Lauren","1","Polo Blue 120 ML"
"Polo Black 100 ML","polo-black-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ralph%20Lauren","1","Polo Black 100 ML"
"Versace Eros Flame 100 ML","versace-eros-flame-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Versace","1","Versace Eros Flame 100 ML"
"Versace Eros Energy 100 ML","versace-eros-energy-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Versace","1","Versace Eros Energy 100 ML"
"Versace Fraiche 100 ML","versace-fraiche-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Versace","1","Versace Fraiche 100 ML"
"Versace Dylan Blue 100 ML","versace-dylan-blue-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Versace","1","Versace Dylan Blue 100 ML"
"Versace Pour Homme 100 ML","versace-pour-homme-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Versace","1","Versace Pour Homme 100 ML"
"Acqua Di Gio 100 ML","acqua-di-gio-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Emporio%20Armani","1","Acqua Di Gio 100 ML"
"Acqua Di Gio Profumo 100 ML","acqua-di-gio-profumo-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Emporio%20Armani","1","Acqua Di Gio Profumo 100 ML"
"Acqua Di Gio Profondo 100 ML","acqua-di-gio-profondo-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Emporio%20Armani","1","Acqua Di Gio Profondo 100 ML"
"Acqua Di Gio Parfum 100 ML","acqua-di-gio-parfum-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Emporio%20Armani","1","Acqua Di Gio Parfum 100 ML"
"Armani Code 120 ML","armani-code-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Emporio%20Armani","1","Armani Code 120 ML"
"Ck One 100 ML","ck-one-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Calvin%20Klein","1","Ck One 100 ML"
"Eternity For Men 100 ML","eternity-for-men-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Calvin%20Klein","1","Eternity For Men 100 ML"
"Tommy Men 100 ML","tommy-men-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Tommy%20Hilfiger","1","Tommy Men 100 ML"
"Jean Pascal-caja 120 ML","jean-pascal-caja-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Pascal","1","Jean Pascal-caja 120 ML"
"Jean Pascal-cuero 120 ML","jean-pascal-cuero-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Pascal","1","Jean Pascal-cuero 120 ML"
"Lapidus","lapidus","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ted%20Lapidus","1","Lapidus"
"Good Girl Glorius Gold 80 ML","good-girl-glorius-gold-80-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","Good Girl Glorius Gold 80 ML"
"Good Girl Dazzling Garden 80 ML","good-girl-dazzling-garden-80-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","Good Girl Dazzling Garden 80 ML"
"Cloud 100 ML","cloud-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ariana%20Grande","1","Cloud 100 ML"
"Sweet Like Candy 100 ML","sweet-like-candy-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ariana%20Grande","1","Sweet Like Candy 100 ML"
"Mod Vainilla 100 ML","mod-vainilla-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Alternativa%20Premium","1","Mod Vainilla 100 ML"
"R.e.m Ariana Grande 100 ML","r-e-m-ariana-grande-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ariana%20Grande","1","R.e.m Ariana Grande 100 ML"
"Ari Ariana Grande 100 ML","ari-ariana-grande-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ariana%20Grande","1","Ari Ariana Grande 100 ML"
"Scandal Woman 90 ML","scandal-woman-90-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Paul%20Gaultier","1","Scandal Woman 90 ML"
"Le Belle Parfum 100 ML","le-belle-parfum-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Paul%20Gaultier","1","Le Belle Parfum 100 ML"
"Jean Paul Divine 100 ML","jean-paul-divine-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Paul%20Gaultier","1","Jean Paul Divine 100 ML"
"La Belle Fleur Terrible 100 ML","la-belle-fleur-terrible-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Paul%20Gaultier","1","La Belle Fleur Terrible 100 ML"
"Miss Dior 100 ML","miss-dior-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dior","1","Miss Dior 100 ML"
"Jadore 100 ML","jadore-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dior","1","Jadore 100 ML"
"Toy 2 Moschino 100 ML","toy-2-moschino-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Moschino","1","Toy 2 Moschino 100 ML"
"Toy 2 Bubble Gum 100 ML","toy-2-bubble-gum-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Moschino","1","Toy 2 Bubble Gum 100 ML"
"Toy 2 Perla 100 ML","toy-2-perla-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Moschino","1","Toy 2 Perla 100 ML"
"Set De Moschino De 30 ML","set-de-moschino-de-30-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Moschino","1","Set De Moschino De 30 ML"
"Moschino Funny 100 ML","moschino-funny-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Moschino","1","Moschino Funny 100 ML"
"Moschino Fresh 100 ML","moschino-fresh-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Moschino","1","Moschino Fresh 100 ML"
"Bvlgari Omnia Coral 100 ML","bvlgari-omnia-coral-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bvlgari","1","Bvlgari Omnia Coral 100 ML"
"Bvlgari Omnia Amethyste 100 ML","bvlgari-omnia-amethyste-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Bvlgari Omnia Amethyste 100 ML"
"Bvlgari Omnia Crystalline 100 ML","bvlgari-omnia-crystalline-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bvlgari","1","Bvlgari Omnia Crystalline 100 ML"
"Bvlgari Omnia Pink 65 ML","bvlgari-omnia-pink-65-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bvlgari","1","Bvlgari Omnia Pink 65 ML"
"Sorbetto Rosso 100 ML","sorbetto-rosso-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Alternativa%20Premium","1","Sorbetto Rosso 100 ML"
"Miami Blossom 100 ML","miami-blossom-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Escada","1","Miami Blossom 100 ML"
"La Vida Es Bella 75 ML","la-vida-es-bella-75-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lanc%C3%B4me","1","La Vida Es Bella 75 ML"
"Tresor Lancome 100 ML","tresor-lancome-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lanc%C3%B4me","1","Tresor Lancome 100 ML"
"Idole Lancome 100 ML","idole-lancome-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lanc%C3%B4me","1","Idole Lancome 100 ML"
"Chanel #5 De 100 ML","chanel-5-de-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Chanel","1","Chanel #5 De 100 ML"
"Chance Chanel Tendre 100 ML","chance-chanel-tendre-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Chanel","1","Chance Chanel Tendre 100 ML"
"Chance Chanel Fraiche 100 ML","chance-chanel-fraiche-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Chanel","1","Chance Chanel Fraiche 100 ML"
"Fantasy 100 ML","fantasy-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Britney%20Spears","1","Fantasy 100 ML"
"Fantasy Midnigt 100 ML","fantasy-midnigt-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Britney%20Spears","1","Fantasy Midnigt 100 ML"
"Light Blue Woman 100 ML","light-blue-woman-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dolce%20%26%20Gabbana","1","Light Blue Woman 100 ML"
"Devotion 100 ML","devotion-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dolce%20%26%20Gabbana","1","Devotion 100 ML"
"The One Woman 100 ML","the-one-woman-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dolce%20%26%20Gabbana","1","The One Woman 100 ML"
"Angel & Demond 100 ML","angel-y-demond-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Givenchy","1","Angel & Demond 100 ML"
"Boss The Scent For Her 100 ML","boss-the-scent-for-her-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Boss The Scent For Her 100 ML"
"Lacoste Sparkling 90 ML","lacoste-sparkling-90-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Sparkling 90 ML"
"Lacoste Elegant 90 ML","lacoste-elegant-90-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Elegant 90 ML"
"Lacoste Natural 90 ML","lacoste-natural-90-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Natural 90 ML"
"Lacoste Touch Of Pink 90 ML","lacoste-touch-of-pink-90-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Touch Of Pink 90 ML"
"Fame 90 ML","fame-90-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Fame 90 ML"
"Lady Million 80 ML","lady-million-80-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Lady Million 80 ML"
"Can Can 100 ML","can-can-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paris%20Hilton","1","Can Can 100 ML"
"Can Can Burlesque 100 ML","can-can-burlesque-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paris%20Hilton","1","Can Can Burlesque 100 ML"
"Paris Hilton 100 ML","paris-hilton-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paris%20Hilton","1","Paris Hilton 100 ML"
"Heiress 100 ML","heiress-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paris%20Hilton","1","Heiress 100 ML"
"Dazzle 100 ML","dazzle-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paris%20Hilton","1","Dazzle 100 ML"
"Meow Katy Perry 100 ML","meow-katy-perry-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Katy%20Perry","1","Meow Katy Perry 100 ML"
"Purr Katy Perry 100 ML","purr-katy-perry-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Katy%20Perry","1","Purr Katy Perry 100 ML"
"Acqua Di Giola 100 ML","acqua-di-giola-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Emporio%20Armani","1","Acqua Di Giola 100 ML"
"Sí 100 ML","si-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Emporio%20Armani","1","Sí 100 ML"
"Ck In 2 U 100 ML","ck-in-2-u-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Calvin%20Klein","1","Ck In 2 U 100 ML"
"Euphoria 100 ML","euphoria-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Calvin%20Klein","1","Euphoria 100 ML"
"360 Coral 100 ML","360-coral-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Perry%20Ellis","1","360 Coral 100 ML"
"Ralph Lauren 100 ML","ralph-lauren-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ralph%20Lauren","1","Ralph Lauren 100 ML"
"Bright Crystal 90 ML","bright-crystal-90-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Versace","1","Bright Crystal 90 ML"
"Yellow Diamond 90 ML","yellow-diamond-90-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Versace","1","Yellow Diamond 90 ML"
"Dylan Blue Woman 100 ML","dylan-blue-woman-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Versace","1","Dylan Blue Woman 100 ML"
"Dylan Purple 100 ML","dylan-purple-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Versace","1","Dylan Purple 100 ML"
"Dylan Turquioise 100 ML","dylan-turquioise-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Versace","1","Dylan Turquioise 100 ML"
"Creed Aventus Her 75 ML","creed-aventus-her-75-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Creed","1","Creed Aventus Her 75 ML"
"Creed Love In White 75 ML","creed-love-in-white-75-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Creed","1","Creed Love In White 75 ML"
"Creed Love In Black 75 ML","creed-love-in-black-75-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Creed","1","Creed Love In Black 75 ML"
"Issey Miyake Woman 100 ML","issey-miyake-woman-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Issey%20Miyake","1","Issey Miyake Woman 100 ML"
"Tommy Girl 100 ML","tommy-girl-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Tommy%20Hilfiger","1","Tommy Girl 100 ML"
"Burberry Her 100 ML","burberry-her-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Burberry","1","Burberry Her 100 ML"
"Halloween 100 ML","halloween-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jes%C3%BAs%20Del%20Pozo","1","Halloween 100 ML"
"By Delicius Dkny 100 ML","by-delicius-dkny-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=DKNY","1","By Delicius Dkny 100 ML"
"Flower By Kenzo 100 ML","flower-by-kenzo-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Kenzo","1","Flower By Kenzo 100 ML"
"Touch 100 ML","touch-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Alternativa%20Premium","1","Touch 100 ML"
